# symbol : ALXN															
# jumpid : 439611															
# date   : 20161111															
nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
21600	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40500	40500	0
21610	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40500	40500	0
21620	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40500	40500	0
21630	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40500	40500	0
21640	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40500	40500	0
21650	0	0	1241600	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40336.7	40481.3	0
21660	0	0	1241600	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40212.7	40462.2	0
21670	0	0	1241600	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40123.9	40443.8	0
21680	0	0	1241600	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40060.4	40425.9	0
21690	0	0	1241600	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40014.8	40408.7	0
21700	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40024.7	40396.4	0
21710	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40159.7	40399.8	0
21720	0	0	1241000	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40256.3	40403.1	0
21730	0	0	1241100	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40299.5	40403.3	0
21740	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40248.5	40394.8	0
21750	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40121.2	40375.3	0
21760	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	40030	40356.4	0
21770	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39964.7	40338.2	0
21780	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39918	40320.6	0
21790	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39884.5	40303.5	0
21800	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39860.5	40287	0
21810	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39843.3	40271	0
21820	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39831	40255.6	0
21830	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39822.2	40240.6	0
21840	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39815.9	40226.2	0
21850	0	0	1241700	600	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39811.4	40212.2	0
21860	0	0	1242300	400	1281500	60	0	0	1.24E+06	1.24E+06	1.28E+06	1.28E+06	39799.9	40197.9	0
