nsec	volume	sqrtvolume	bidprice	bidsize	askprice	asksize	emavol0	emavol1	emabid0	emabid1	emaask0	emaask1	emaspr0	emaspr1	cluster1
21600	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	114.942
21610	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	1.08E-44
21620	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	4.54E-91
21630	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	8.48E-138
21640	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	6.99E-185
21650	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	2.52E-232
21660	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	3.97E-280
21670	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21680	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21690	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21700	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21710	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21720	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21730	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21740	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21750	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21760	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21770	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21780	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21790	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21800	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21810	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21820	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21830	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21840	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21850	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21860	450	49.9494	1220000	70	1240000	600	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	20000	20000	0
21870	450	49.9494	1220000	70	1230400	300	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	19500.6	19948.9	0
21880	450	49.9494	1220000	70	1230400	300	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	16917.2	19635.8	0
21890	450	49.9494	1220000	70	1230400	300	49.9494	49.9494	1.22E+06	1.22E+06	1.24E+06	1.24E+06	15067.2	19333	0
21900	850	93.9151	1230400	5	1240000	600	53.0326	50.275	1.22E+06	1.22E+06	1.23E+06	1.24E+06	13729.1	19038.8	398.687
21910	850	93.9151	1220000	70	1240000	600	64.6378	51.7059	1.22E+06	1.22E+06	1.24E+06	1.24E+06	15358.5	19050.1	342.124
21920	850	93.9151	1220000	70	1240000	600	72.9487	53.0899	1.22E+06	1.22E+06	1.24E+06	1.24E+06	16676.1	19081.3	222.2
21930	850	93.9151	1220000	70	1240000	600	78.9004	54.4286	1.22E+06	1.22E+06	1.24E+06	1.24E+06	17619.6	19111.4	109.138
21940	850	93.9151	1220000	70	1240000	600	83.1626	55.7233	1.22E+06	1.22E+06	1.24E+06	1.24E+06	18295.3	19140.5	40.508
21950	850	93.9151	1220000	70	1240000	600	86.2148	56.9756	1.22E+06	1.22E+06	1.24E+06	1.24E+06	18779.2	19168.7	11.3526
21960	850	93.9151	1220000	70	1240000	600	88.4007	58.1868	1.22E+06	1.22E+06	1.24E+06	1.24E+06	19125.8	19196	2.40046
21970	850	93.9151	1220000	70	1240000	600	89.9661	59.3583	1.22E+06	1.22E+06	1.24E+06	1.24E+06	19373.9	19222.3	0.382643
